genre,total_ratings,avg_rating
Drama,41928,3.6561844113718758
Comedy,39053,3.3847207640898267
Action,30635,3.447984331646809
Thriller,26452,3.4937055799183425
Adventure,24161,3.5086089151939075
Romance,18124,3.5065107040388437
Sci-Fi,17243,3.455721162210752
Crime,16681,3.658293867274144
Fantasy,11834,3.4910005070136894
Children,9208,3.412956125108601
Mystery,7674,3.632460255407871
Horror,7291,3.258195034974626
Animation,6988,3.6299370349170004
War,4859,3.8082938876312
IMAX,4145,3.618335343787696
Musical,4138,3.5636781053649105
Western,1930,3.583937823834197
Documentary,1219,3.797785069729286
Film-Noir,870,3.920114942528736
